,CountryName,GiniCoff,IncomePerPeerson,InvestmentShareOfGDP,TaxShareOfGDP,"Estimates, 1950 - 2020: Annually interpolated demographic indicators - Total fertility (live births per woman)",Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Life satisfaction in Cantril Ladder (World Happiness Report 2019),"Agriculture, value added per worker (constant 2010 US$)",Life expectancy,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))",Population density (people per sq. km of land area)
0,Algeria,28.2,13000.0,38.1,37.2,2.909,1.0948192462640918,5.317194462,9444.28616227874,75.199,9.96000003814697,13204.0,15.4591004895581
1,Benin,43.1,1820.0,24.1,14.8,5.305,0.7269544497405429,3.870279551,1009.68357954254,59.59,2.65000009536743,1836.0,83.9021106775452
2,Botswana,60.6,13800.0,37.8,23.2,3.017,0.9829092502962904,3.519921064,1555.46054668534,61.91,17.617000579834,13376.0,3.61960545586082
3,Burkina Faso,38.0,1470.0,28.0,13.7,5.781000000000001,0.655873961038678,4.785367489,904.334830599158,57.761,5.09700012207031,1344.0,58.7788888888889
4,Burundi,36.6,739.0,27.6,14.7,6.087999999999999,0.7687577975590526,3.705894232,218.137392599461,57.925,1.54499995708466,719.0,352.161526479751
5,Central African Republic,56.2,1020.0,15.0,9.29,5.172000000000001,0.7012733992100448,3.677826405,717.432443979282,47.95,6.27799987792969,909.0,7.18506693633825
6,Egypt,30.9,9980.0,17.1,14.0,3.3110000000000004,0.9209760973159712,4.174158573,4083.35115433178,70.543,11.8500003814697,10737.0,86.2901813250289
7,Lesotho,54.1,2580.0,22.7,34.8,3.282,1.6468780918654822,4.89751482,1659.03469166379,46.207,28.1900005340576,2346.0,67.9896574440053
8,Malawi,44.9,1100.0,12.4,15.5,5.1610000000000005,0.6655812387581362,3.946062565,414.229694217986,57.161,6.42899990081787,1102.0,165.757509546033
9,Mali,33.3,1880.0,19.7,12.5,6.474,0.3408713007757993,4.666832924,1145.29578452853,55.701,6.90000009536743,1500.0,12.7365320155058
10,Mauritius,35.8,16600.0,23.9,18.0,1.541,1.369049150105316,5.477073193,9492.12443385928,73.718,7.90999984741211,16483.0,616.947783251231
11,Morocco,40.1,6700.0,35.8,23.3,2.576,1.287113329632091,5.084972858,3021.73564809223,74.696,8.90999984741211,7226.0,73.6249675106431
12,Mozambique,48.4,984.0,25.7,18.7,5.329,0.7888298066042068,4.971111774,446.093543300709,53.043,22.3430004119873,925.0,31.7136816806124
13,Senegal,40.1,2740.0,25.6,19.0,5.039,1.0720968845345775,3.834201574,829.020920718843,64.898,10.3599996566772,2123.0,69.0848698904067
14,Sierra Leone,34.6,1260.0,42.0,9.31,5.06,0.5018898708641274,4.501643658,1057.04811751446,50.234,4.39300012588501,1479.0,91.600055417013
15,South Africa,63.2,12200.0,19.7,25.2,2.582,1.0220216054517688,4.930511475,13816.6045721575,58.895,24.6499996185303,11838.0,43.0829666389138
16,Togo,45.1,1290.0,18.3,16.4,4.798,0.8750917527441229,2.936220884,948.276330764597,58.092,1.86000001430511,1227.0,122.803493289208
17,Tunisia,36.0,10100.0,23.5,21.2,2.182,0.630799439905473,4.87648201,7066.51790137925,75.206,18.3299999237061,10437.0,69.2679389804325
18,Zambia,55.9,3420.0,33.6,17.1,5.327999999999999,0.7076036117541827,4.99911356,650.952986330281,57.126,9.98999977111816,3205.0,19.1887918858204
19,Zimbabwe,43.2,2170.0,20.3,20.9,4.059,1.6383073453175605,4.845641613,270.290577970421,52.896,5.36999988555908,1515.0,37.1892180431692
20,Argentina,42.3,19800.0,18.4,12.7,2.338,1.5200943626615315,6.775805473,265201.994312205,75.439,7.17999982833862,20003.0,15.2216286828249
21,Brazil,53.1,15100.0,21.8,14.2,1.781,1.0655611248136416,7.037816525,6739.82977556561,73.921,6.69000005722046,14831.0,23.7716391445944
22,Canada,33.8,41600.0,24.2,11.8,1.624,1.772480487492538,7.426053524,56494.4512021534,81.51,7.51000022888184,42197.0,3.77662530749952
23,Chile,47.9,20300.0,24.6,18.9,1.87,2.115489267887836,6.526334763,11147.0473065104,78.986,7.34000015258789,19705.0,23.0700992021863
24,Colombia,53.7,11700.0,23.9,14.6,1.958,1.313381113109468,6.463952541,4931.38784472348,75.655,10.1899995803833,11788.0,41.8266300135196
25,Costa Rica,49.1,13300.0,19.9,13.4,1.869,1.8093616434598208,7.228888512,11671.2067922311,78.919,10.1800003051758,12366.0,90.0993732863298
26,Dominican Republic,47.1,11600.0,25.0,12.3,2.481,1.2326943613242225,5.396535397,5697.45729438187,72.284,5.82000017166138,11679.0,207.557338025254
27,El Salvador,43.4,6490.0,17.8,15.3,2.224,1.4306222244471931,4.741294861,2269.05006925805,71.449,4.30000019073486,7607.0,298.868725868726
28,Guatemala,50.7,6850.0,15.2,10.8,3.292,1.10273498080905,5.743353844,2355.50112972674,71.861,4.13000011444092,6650.0,139.500923852184
29,Honduras,53.9,3980.0,26.0,14.8,2.86,0.7755272603162632,4.961031437,1661.03206753315,73.569,4.46999979019165,4421.0,74.6411654303334
30,Jamaica,45.5,8110.0,21.4,23.4,2.136,0.5054767367545154,5.374446392,3600.79476235526,74.012,12.6999998092651,7141.0,261.264358264081
31,Mexico,46.8,16500.0,23.3,10.0,2.317,1.202639399556806,6.909515381,4989.71825769621,75.011,5.19000005722046,15210.0,61.2618724761439
32,Nicaragua,44.8,4160.0,31.0,14.5,2.575,1.8562848744128624,5.385705471,1993.69467882857,72.692,6.51999998092651,4189.0,48.2617583513379
33,Paraguay,49.6,10000.0,17.1,12.6,2.675,1.1871631000881022,5.677080631,5890.86085271288,72.86,4.67000007629395,7377.0,15.8413868613139
