CountryName,GiniCoff,IncomePerPeerson,InvestmentShareOfGDP,TaxShareOfGDP,"Estimated average age at marriage, women","Estimates, 1950 - 2020: Annually interpolated demographic indicators - Total fertility (live births per woman)",Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Life satisfaction in Cantril Ladder (World Happiness Report 2019),"Agriculture, value added per worker (constant 2010 US$)",UN Population Division (Median Age) (2017),Life expectancy,Number of people employed in agriculture  (Herrendorf et al. data),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Pupil-teacher ratio in primary education (headcount basis),Tax Revenue (Piketty (2014)),Public Expenditure on Education (Tanzi & Schuktnecht (2000)),"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))",Income share held by highest 10%,Population density (people per sq. km of land area)
Colombia,53.7,11700.0,23.9,14.6,,1.958,1.313381113109468,6.463952541,4931.38784472348,,75.655,,10.1899995803833,27.5796508789063,,,11788.0,43.1,41.8266300135196
Costa Rica,49.1,13300.0,19.9,13.4,,1.869,1.8093616434598208,7.228888512,11671.2067922311,,78.919,,10.1800003051758,17.3420791625977,,,12366.0,37.0,90.0993732863298
Dominican Republic,47.1,11600.0,25.0,12.3,,2.481,1.2326943613242225,5.396535397,5697.45729438187,,72.284,,5.82000017166138,25.4585494995117,,,11679.0,37.3,207.557338025254
El Salvador,43.4,6490.0,17.8,15.3,,2.224,1.4306222244471931,4.741294861,2269.05006925805,,71.449,,4.30000019073486,29.285680770874,,,7607.0,32.9,298.868725868726
Guatemala,50.7,6850.0,15.2,10.8,,3.292,1.10273498080905,5.743353844,2355.50112972674,,71.861,,4.13000011444092,26.2891006469727,,,6650.0,41.8,139.500923852184
Honduras,53.9,3980.0,26.0,14.8,21.200001,2.86,0.7755272603162632,4.961031437,1661.03206753315,,73.569,,4.46999979019165,,,,4421.0,45.7,74.6411654303334
Jamaica,45.5,8110.0,21.4,23.4,,2.136,0.5054767367545154,5.374446392,3600.79476235526,,74.012,,12.6999998092651,23.3935394287109,,,7141.0,,261.264358264081
Mexico,46.8,16500.0,23.3,10.0,26.299999,2.317,1.202639399556806,6.909515381,4989.71825769621,,75.011,,5.19000005722046,28.1119899749756,,,15210.0,,61.2618724761439
Nicaragua,44.8,4160.0,31.0,14.5,21.1,2.575,1.8562848744128624,5.385705471,1993.69467882857,,72.692,,6.51999998092651,,,,4189.0,,48.2617583513379
Paraguay,49.6,10000.0,17.1,12.6,,2.675,1.1871631000881022,5.677080631,5890.86085271288,,72.86,,4.67000007629395,,,,7377.0,41.4,15.8413868613139
Peru,45.3,10600.0,24.2,16.0,23.6,2.4930000000000003,0.7844238954382475,5.892457485,2402.1654783614,,74.697,,3.44000005722046,19.56369972229,,,10044.0,34.2,23.24999140625
Suriname,60.9,14800.0,53.2,18.5,,2.587,3.9077364227773153,,61759.5031332122,,70.676,,6.92799997329712,15.2450504302979,,,,,3.40762179487179
United States,40.7,49900.0,18.5,9.59,26.4,1.937,1.7160294555366555,7.115138531,68423.1278844576,,78.777,1962000.0,8.94999980926514,14.2852201461792,,,49675.0,,34.0690905195126
Uruguay,42.6,18000.0,20.9,19.1,24.0,2.008,1.9991871125418303,6.554047108,20656.9675652465,,76.882,,6.30999994277954,,,,17211.0,32.4,19.3442120900469
Afghanistan,36.8,1630.0,16.6,8.85,,5.77,0.6460586451796041,3.83171916,820.402491643305,,61.553,,8.22999954223633,43.5191497802734,,,1792.0,,45.5053135434856
Armenia,29.5,7020.0,27.3,17.2,,1.724,1.1219990844189855,4.260491371,4025.22356736472,,73.572,,18.4400005340576,,,,8465.0,26.1,101.003898840885
Azerbaijan,32.4,15800.0,20.3,12.2,,2.004,0.6496436780187851,4.680469513,1892.45369699025,,71.234,,5.42000007629395,11.1644496917725,,,16176.0,,110.976336228798
Bahrain,40.0,40200.0,22.4,1.11,,2.139,2.9293069976681307,4.82397604,9659.53068953176,,76.2,,1.23000001907349,12.1159000396729,,,36372.0,,1666.58279009126
Bangladesh,32.2,2650.0,27.4,8.69,18.6,2.273,1.16744791623086,4.985649109,733.612713124515,,70.256,,3.65000009536743,40.2114791870117,,,2772.0,,1182.39161097027
Bhutan,38.6,7270.0,67.7,13.5,,2.224,1.0991091642853696,,1328.5690759838,,68.84,,3.23000001907349,25.3784503936768,,,,,19.4272896607813
Cambodia,42.0,2660.0,17.1,10.2,,2.804,0.6229515031524316,4.161225319,1079.65998613954,,67.043,,0.200000002980232,47.2916297912598,,,2496.0,,82.3582936777702
China,41.9,10400.0,47.7,10.3,,1.632,1.4261853399424431,5.037207603,3301.34789075455,,74.708,,4.34000015258789,16.7884101867676,,,10221.0,,143.172112343875
Fiji,38.9,7520.0,21.0,23.0,,2.761,1.2717190420799245,,2346.33858653487,,66.759,,9.02000045776367,30.7597103118896,,,,,47.4595511767926
India,35.0,4630.0,39.6,10.2,,2.506,2.286725388441136,4.634871483,1366.53305743959,,67.13,,3.52900004386902,35.1546287536621,,,4768.0,29.8,419.4942230399
Indonesia,38.2,8860.0,33.0,11.2,,2.471,0.5155831057697937,5.172608376,2611.51686999073,,69.542,,5.15000009536743,18.9804000854492,,,8849.0,,135.632358120304
Israel,41.9,30600.0,20.4,22.7,25.0,3.009,1.315319002136483,7.433147907,84355.1580981656,,81.653,,7.1399998664856,12.5025596618652,,,29370.0,,358.863216266174
Japan,32.1,35800.0,22.1,9.36,29.0,1.391,2.5410675191347725,6.262793541,25489.9196283235,,83.118,2785062.387,4.55000019073486,17.4956092834473,,,34979.0,,350.654908038568
Jordan,33.3,9120.0,25.5,15.0,,3.5410000000000004,1.0697616917872466,5.539327621,13138.244577664,,73.581,,12.8999996185303,,,,11615.0,,85.3226289704889
Kuwait,40.0,78000.0,13.5,0.8,25.700001,2.182,1.66751808308634,6.377699375,11264.835906285,,74.55,,3.59999990463257,8.60900974273682,,,77126.0,,179.071324354658
Kazakhstan,27.9,21300.0,23.0,18.3,,2.668,3.3950195440081226,5.735662937,3832.51231900711,,68.047,,5.3899998664856,16.3579502105713,,,21302.0,22.5,6.13297810867874
Lao,36.0,4490.0,28.1,13.1,,,,,,,,,,,,,,,
Lebanon,31.8,13800.0,26.8,16.3,,2.002,1.148343904957617,5.187571526,41135.9791081276,,78.507,,6.55999994277954,14.2309703826904,,,16230.0,24.8,448.520821114369
Malaysia,43.6,21800.0,23.2,14.8,,2.129,1.3615984137023656,5.786367416,16283.0977901202,,74.683,,3.08999991416931,12.3244695663452,,,19390.0,,87.1560736569776
Mongolia,33.6,8850.0,58.2,18.5,,2.722,2.6690893420593715,5.031173706,2213.50033136893,,67.818,,4.76999998092651,29.3232097625732,,,9484.0,26.6,1.77754061639074
Nepal,33.8,2050.0,38.0,13.3,20.0,2.444,1.2648973617941477,3.809444666,521.058194495547,,68.028,,2.53299999237061,29.6141300201416,,,2189.0,,190.632347401465
Oman,40.0,41900.0,23.8,2.27,,2.882,1.1423715336434608,6.852982044,9619.50483220134,,75.916,,3.97399997711182,,,,44454.0,,10.4596704361874
Palestine,34.5,4410.0,17.8,5.25,,4.36,0.9481288671324868,4.751219749,6097.76184977883,,72.915,,20.9400005340576,25.6431903839111,,,4863.0,27.2,652.334053156146
Pakistan,30.6,4100.0,14.1,9.19,,3.88,0.5948257297615993,5.267186165,1697.32653879146,,65.562,,0.800000011920929,39.8326416015625,,,4464.0,26.8,225.95509677252
Philippines,44.1,5690.0,20.5,12.4,,3.1210000000000004,0.783954878444745,4.993956566,1986.30600166729,,69.984,,3.58999991416931,,,,5851.0,,319.542341617198
Singapore,42.2,76000.0,27.1,13.3,,1.235,2.907644932788102,6.561041832,3052.45369466767,,82.048,,2.96000003814697,,,,61672.0,,7363.19318181818
Sri Lanka,37.8,9160.0,33.4,11.3,,2.237,3.803471032514535,4.180569172,1927.63248326729,,75.614,,4.1100001335144,24.0657196044922,,,8918.0,,323.951793972253
South Korea,31.8,31200.0,33.0,14.4,,1.216,6.502340050378157,6.946599007,15226.7800739828,,80.79,,3.41000008583069,19.0484600067139,,,32225.0,,513.592903424869
Thailand,38.7,13500.0,26.8,16.4,,1.539,2.0752863037461338,6.663609028,2338.64361185319,,74.593,,0.660000026226044,15.7845697402954,,,13318.0,29.9,132.181350192801
Timor-Leste,28.3,9860.0,12.9,24.9,,,,,,,,,,,,,,,
United Arab Emirates,40.0,56600.0,23.2,0.321,,1.763,2.990238065641895,7.118701458,72067.6703790944,,76.521,,3.3050000667572,17.0339698791504,,,65307.0,,103.73773923445
Uzbekistan,33.5,4470.0,22.8,16.2,,2.449,1.4439200271668626,5.738744259,2324.07259525339,,69.91,,8.1569995880127,15.624400138855,,,7396.0,,68.968970380818
Vietnam,37.0,4660.0,29.8,22.2,22.799999,1.949,1.263985961214957,5.767344475,882.517182101952,,74.904,,2.01999998092651,19.6315498352051,,,4786.0,,288.440171574161
Albania,29.3,10200.0,31.4,18.0,,1.673,0.8823724134153041,5.867421627,4518.23432758808,,76.914,,13.9799995422363,19.8691692352295,,,9484.0,,106.02901459854
Austria,30.8,44500.0,24.1,25.4,30.299999,1.431,1.879726159564108,7.470512867,27966.8490788654,,80.776,,4.55999994277954,10.8939800262451,,,41446.0,23.7,101.641731568174
Belarus,27.3,17200.0,37.2,14.5,,1.594,2.5585881130065404,5.225307941,10780.5984945084,,71.443,,0.680000007152557,14.9636697769165,,,17918.0,21.9,46.6865704006702
Belgium,28.0,41300.0,24.0,24.7,,1.806,2.174815235733864,7.111363888,63174.086693761,,80.261,,7.1399998664856,11.1892404556274,,,38130.0,22.4,364.85284015852
Bosnia and Herzegovina,33.0,9980.0,18.7,20.3,25.700001,1.315,0.811233706558481,4.994670868,5609.93166269495,,76.219,,27.6000003814697,,,,8961.0,25.8,72.04814453125
Bulgaria,35.3,15700.0,21.5,17.7,26.6,1.534,0.9282145822909464,3.875382423,10527.9788673279,,73.932,,11.2600002288818,17.4620800018311,,,15112.0,26.0,67.6890935887988
Croatia,31.9,20800.0,20.6,18.4,27.299999,1.509,1.519824031080388,5.385372639,10134.1579066459,,77.059,,13.6800003051758,13.83131980896,,,19813.0,23.7,76.4943173695497
Cyprus,33.5,33200.0,18.8,23.3,,1.406,0.9486464206424852,6.689608574,26904.2978249975,,79.621,,7.86999988555908,13.4415302276611,,,27272.0,26.7,121.73538961039
Czech Republic,26.3,28800.0,27.0,14.3,,,,,,,,,,,,,,,
Denmark,27.5,44400.0,19.1,32.8,31.4,1.775,1.3369370514276444,7.78823185,53162.9001351136,,79.704,,7.57000017166138,,,,43575.0,22.8,131.288522271977
Estonia,32.8,24500.0,25.1,1.23,28.4,1.633,1.687457131442588,5.486819744,23194.8417396703,,75.893,,12.3299999237061,11.7828998565674,,,21997.0,24.8,31.3149091766926
Finland,27.4,40700.0,23.5,20.1,30.4,1.809,1.9528354483153976,7.354225159,58794.3595473316,,80.365,,7.78000020980835,13.6709403991699,,,38432.0,22.8,17.7309947678436
France,33.1,37400.0,23.2,21.8,30.799999,1.992,2.2794124759474834,6.959185123,55603.8838262611,,81.692,,8.8100004196167,17.5182991027832,,,36691.0,26.9,119.335110317282
Germany,30.7,42700.0,21.1,11.4,30.200001,1.4,1.342167467607866,6.621312141,30702.9234565193,,80.261,,5.82000017166138,11.8241500854492,,,43189.0,23.7,230.304633348634
Greece,35.0,26100.0,15.1,22.1,29.4,1.378,0.4721322570469423,5.372039795,16382.0631675464,,80.754,,17.8600006103516,,,,24349.0,25.6,86.1512723041117
Hungary,29.6,22800.0,20.5,21.1,28.6,1.3259999999999998,1.8566069393774192,4.917602539,24046.0931757233,,74.795,,11.0299997329712,10.5392198562622,,,20886.0,23.1,110.148315475533
Iceland,26.8,40800.0,15.4,21.2,32.400002,2.05,1.9148902261943133,,85199.674670911,,81.951,,7.03000020980835,9.7007303237915,,,36740.0,22.1,3.18218453865337
Ireland,32.9,44900.0,17.2,21.8,,1.988,1.946790778307904,7.006904125,28599.9738310804,,80.382,,14.6199998855591,15.5706901550293,,,48980.0,25.3,66.4840179997097
Italy,34.7,36300.0,20.5,22.3,30.5,1.439,0.7822025674992596,6.057086468,46526.2716047094,,82.128,,8.35999965667725,,,,35151.0,26.0,201.874784116407
Latvia,35.4,19800.0,25.2,20.0,27.299999,1.5019999999999998,1.6929845573818607,4.966811657,11910.3683086469,,73.323,,16.2099990844727,11.4135999679565,,,18428.0,27.3,33.1142926045016
Lithuania,34.7,22900.0,21.7,4.49,26.700001,1.544,2.907143528889977,5.43243742,11045.4042839546,,73.256,,15.3900003433228,12.4120502471924,,,20243.0,24.5,48.3153301209433
Luxembourg,32.0,92000.0,19.4,24.6,30.299999,1.5719999999999998,1.6233889730092044,7.101400375,38337.6681231504,,80.664,,4.90000009536743,8.99283027648926,,,54031.0,24.4,200.133976833977
Malta,29.3,28600.0,19.4,26.1,29.200001,1.386,0.7294386941729611,6.154718399,,,81.094,,6.38000011444092,12.611310005188,,,23871.0,,1300.8375
Moldova,30.7,5010.0,24.2,18.3,,1.276,1.667850250517166,5.792262554,2271.08380767231,,70.119,,6.67999982833862,15.3187999725342,,,4892.0,24.5,124.097535469028
North Macedonia,39.7,11600.0,26.9,17.0,25.5,1.477,1.008935313663599,4.898180008,7969.48351003069,,74.846,,31.3799991607666,,,,11321.0,27.1,82.1722045995242
Netherlands,27.8,46600.0,20.5,20.4,30.1,1.74,1.4058446946918963,7.563797951,60385.9585369719,,81.015,252394.4413,4.98000001907349,11.5583200454712,,,44591.0,22.6,495.049644128114
Norway,25.9,62100.0,25.9,27.7,31.1,1.866,1.4363324186171726,,115888.217448688,,81.345,,3.21000003814697,,,,80623.0,20.5,13.561001519528
Poland,33.0,22900.0,22.4,16.7,26.200001,1.351,2.0553682209806663,5.646204948,5945.10934419971,,76.647,,9.63000011444092,10.1553602218628,,,21837.0,25.9,124.296296901022
Portugal,35.9,26800.0,18.6,21.2,28.0,1.305,1.3732889625965203,5.219997883,9552.56727647118,,80.26,,12.6800003051758,11.1004295349121,,,25133.0,28.7,115.269789278305
Romania,31.9,17900.0,28.0,18.0,25.799999,1.521,1.0355658659194191,5.02275753,4271.44187468488,,74.42,,7.17999982833862,17.3667392730713,,,17174.0,21.4,87.5332493374462
Russia,40.1,24300.0,24.4,13.9,,1.6269999999999998,2.648036171820934,5.388766289,10534.5710654336,,69.343,,6.53999996185303,,,,23130.0,31.1,8.72943779855369
Serbia,33.1,13700.0,20.1,20.2,,1.492,1.4468629778195592,4.815186501,6813.34767040296,,74.364,,22.9699993133545,15.4810199737549,,,12463.0,,82.7132289046421
Slovak Republic,26.9,25800.0,25.0,15.5,,,,,,,,,,,,,,,
Slovenia,25.3,28800.0,21.7,17.9,29.4,1.545,2.436116971173171,6.035964012,10967.6440768017,,79.725,,8.17000007629395,16.7077007293701,,,26004.0,20.8,101.928649453823
Spain,35.5,32100.0,21.9,12.4,31.299999,1.378,0.9780656065567406,6.518249035,45893.878540211,,82.149,,21.3899993896484,12.3987598419189,,,31600.0,25.9,93.5078358806114
Sweden,27.8,43800.0,23.8,26.5,33.0,1.916,1.5516698016566617,7.382232189,76007.6678547753,,81.679,,7.76999998092651,9.26630020141602,,,42079.0,21.4,23.027764780426
Switzerland,32.2,56200.0,26.7,9.65,29.9,1.5119999999999998,1.9947119668430395,,28823.2511543523,,82.45,,4.40999984741211,,,,58686.0,24.6,200.23276647434
Turkey,39.6,19700.0,31.3,18.7,23.9,2.137,0.6702410605199494,5.271944046,12448.7414270085,,74.944,,8.80000019073486,,,,17919.0,30.5,95.3827878331146
Ukraine,24.8,8280.0,22.4,18.5,,1.474,1.6739376193164728,5.083132744,2984.68002179531,,69.932,,7.8600001335144,15.833459854126,,,10333.0,20.8,78.896119588483
United Kingdom,33.5,36800.0,15.6,26.1,30.200001,1.884,0.9644454597102332,6.869248867,49389.1366345043,,80.564,596247.613,8.03999996185303,17.2653999328613,,,34971.0,25.3,261.47612119208
Australia,32.9,42000.0,26.4,20.4,28.0,1.922,1.8198779355122143,7.405616283,82077.6904907286,,82.119,,5.07999992370605,,,,46132.0,,2.90798641031983
New Zealand,33.2,32700.0,20.4,25.6,28.4,2.09,1.7764103384545191,7.190638065,92901.2311734907,,81.052,,5.96999979019165,14.550479888916,,,32057.0,,16.6495765447571
Brunei,,,,,26.1,1.957,1.452310796681484,,79688.6246433964,,74.852,,6.11199998855591,11.3356599807739,,,,,74.765275142315
Cameroon,,,,,21.299999,5.049,0.9202995115996973,4.433885098,689.430329906577,,55.581,,4.1729998588562,45.4377288818359,,,2494.0,,43.4102240274164
Congo,,,,,21.299999,4.742,1.0261936790180517,4.509824276,803.034279940449,,60.785,,13.0640001296997,47.0928916931152,,,5875.0,37.9,13.2144363103953
Czechia,,,,,28.1,1.473,1.596802387682027,6.331490993,22024.4621211379,,77.843,,6.71000003814697,18.8212604522705,,,26725.0,22.2,135.889280165717
Ghana,,,,,23.799999,4.234,0.7971503027200261,5.608199596,1981.09210366091,,61.381,,4.47200012207031,31.0422306060791,,,3283.0,,110.406064867716
Greenland,,,,,31.5,,9.176565321764356,,,,70.711,,,,,,,,0.138603971251066
Hong Kong,,,,,30.299999,1.151,,5.474010944,15485.5497603693,,83.109,,3.42000007629395,14.7997398376465,,,44532.0,,6734.85714285714
